mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-let-7a-1	14.455531	12.333061	13.937990	13.474526	12.868255	11.827453	13.489012	13.790492	12.295087	13.668975	12.650024	12.933506	12.913503	12.535107	13.555574	13.413645	14.383735	13.043561	13.627430	12.786655	11.803364	13.516560	13.389501	12.975940	13.730685	12.604786	12.484079	13.393319	12.520735	13.243937	13.764179	13.233884	13.786384	13.105378	13.505091	13.005005	12.867240	11.697064	13.087927	13.435212	12.738511	12.035477	13.184479	12.677689	13.178259	12.446918	12.877882	13.184107	12.243318	11.455533	13.113066	12.765504	13.529841	12.664260	13.457821	12.939449	12.053162	12.676223	12.959984	12.333142	12.215886	12.228938	12.612130	12.556993	12.832133	12.351080	12.555808	12.418465	11.966298	12.487763	13.004446	13.022883
hsa-let-7a-2	15.452605	13.323667	14.938610	14.472483	13.869678	12.808202	14.485575	14.776033	13.300476	14.687182	13.645475	13.925880	13.910262	13.525369	14.555349	14.402658	15.369922	14.040912	14.629006	13.776917	12.800800	14.533569	14.382980	13.971080	14.722780	13.604871	13.465152	14.385255	13.523163	14.247793	14.756678	14.240779	14.791281	14.107795	14.511528	13.969895	13.882075	12.721829	14.093684	14.420197	13.740346	13.030994	14.175886	13.671391	14.176024	13.435638	13.865427	14.182375	13.233911	12.406122	14.116442	13.746160	14.512778	13.643717	14.439809	13.910720	13.035657	13.661964	13.943375	13.300069	13.164604	13.211102	13.615351	13.531496	13.834149	13.359621	13.529110	13.410455	12.929424	13.464920	13.989963	14.020024
hsa-let-7a-3	14.464156	12.351972	13.940542	13.480458	12.880016	11.861836	13.502399	13.802424	12.301551	13.677535	12.637451	12.963542	12.935243	12.572437	13.565889	13.418130	14.380651	13.045092	13.647804	12.781794	11.818523	13.561582	13.404447	12.996585	13.750649	12.633752	12.486020	13.389202	12.555346	13.254331	13.767006	13.259945	13.803123	13.150448	13.520067	13.010845	12.885263	11.752462	13.130294	13.441166	12.764925	12.031402	13.193902	12.702485	13.214704	12.442809	12.891418	13.212472	12.252015	11.453370	13.120128	12.769269	13.530736	12.661607	13.457228	12.972630	12.050037	12.683572	12.969772	12.342096	12.240797	12.231683	12.645561	12.556944	12.846521	12.368418	12.565893	12.426209	11.975260	12.497825	13.016771	13.025007
hsa-let-7b	16.059554	15.142709	15.558201	15.313541	14.855564	13.977764	14.919150	13.802771	14.681922	15.247852	14.808518	14.605263	14.825440	14.016333	15.284744	15.346775	16.182169	14.957715	14.818454	14.458185	13.410574	15.229512	14.990452	15.143269	16.043461	14.100395	13.518708	15.113732	13.467630	12.437361	14.886169	14.934353	14.842300	13.769677	14.611277	14.340679	14.384872	13.662440	12.791691	14.366741	14.214275	14.286379	15.896432	14.633441	15.788610	14.128537	14.965968	14.512213	14.099494	12.916034	15.322714	13.691843	14.813596	13.990590	15.747690	13.253114	14.152946	15.158687	15.362642	14.416327	13.726653	14.530365	14.592735	14.404445	13.783011	14.801532	15.062312	14.390898	13.823612	14.595521	14.898324	13.735977
hsa-let-7c	10.557648	9.246743	12.119449	11.975199	11.405134	12.423125	11.053809	11.644268	11.404226	13.441506	12.152896	10.308758	11.437991	9.810485	12.170458	11.660713	12.960517	11.660734	11.395991	10.970637	10.759618	10.753762	12.642809	10.206460	10.770450	9.952442	11.336405	9.724338	10.143073	11.188708	11.090150	11.396087	12.212685	11.075048	12.188237	11.987772	11.402751	10.874124	9.533830	12.360581	10.009775	12.189733	9.043992	9.832128	10.427090	12.214107	10.234429	8.608818	12.198248	8.847084	11.484460	11.163907	10.889670	11.017972	10.438929	9.700322	9.803926	12.217108	10.184734	9.860561	10.686349	10.240405	11.029442	10.511949	10.879908	10.046286	9.919371	10.314372	9.656651	10.089937	12.001205	11.764679
hsa-let-7d	9.025583	9.882500	8.896941	8.553214	8.356288	9.247730	8.887592	8.246229	10.321226	8.724795	8.746121	9.523555	8.857624	9.961992	8.091123	8.942196	9.272418	9.200152	9.678928	9.275654	9.349177	9.920951	8.676306	8.636838	9.602387	9.317979	9.063321	8.994912	8.938806	8.326851	8.096663	8.496189	9.122435	8.717176	7.959662	9.690612	9.082886	8.874822	11.685333	8.687492	7.316387	7.561322	9.070380	9.303538	9.191074	9.010555	7.704247	10.036929	8.893145	10.503946	9.245871	11.020856	8.645979	8.888132	8.747204	8.830134	8.976129	9.877308	6.261045	8.379384	9.881661	9.069181	9.597580	9.605812	9.194117	7.670322	10.288894	7.057852	9.944049	9.459324	9.421830	8.588671
hsa-let-7e	10.700509	9.610335	10.239424	10.112171	9.990404	9.808278	10.324401	11.834758	10.069658	10.390810	9.972772	11.030139	10.651033	9.289869	9.891078	10.208944	11.416210	9.910757	11.271632	10.674279	12.116701	11.126586	10.406953	10.641629	10.820411	11.008038	10.598918	10.298926	10.064135	10.679553	11.211181	10.548412	10.900438	11.012215	11.236705	10.406036	10.229727	9.955615	10.628430	11.119782	8.861868	8.727459	8.995721	10.770132	11.393450	9.994601	9.993074	10.340144	9.291626	8.896042	10.225247	10.234841	10.355503	10.435850	9.771095	9.499717	9.402934	10.603549	9.105970	9.197849	9.930978	8.379370	10.111694	10.465689	10.627132	10.009093	10.638665	9.240271	10.887904	10.944162	10.558850	10.985918
hsa-let-7f-1	4.629392	5.667028	5.132465	3.594463	3.750151	4.478425	4.212102	3.535550	6.370660	3.844728	4.303178	4.882040	4.187625	4.925772	3.131618	4.086444	4.276431	4.734711	5.832841	4.096851	3.738062	5.132163	4.567439	3.562604	4.295155	3.876695	3.947214	3.475947	3.722060	3.952834	3.666833	4.303789	4.586172	3.885224	4.006378	5.278042	3.413034	3.769088	5.706319	4.225801	3.810496	3.305928	3.667794	3.527434	4.340158	3.882329	3.418058	4.231432	3.747943	5.151031	4.578556	4.440776	3.786940	3.991295	3.521060	3.153942	4.263238	3.790560	2.554092	3.554955	3.750447	5.103835	4.178450	4.004461	3.841530	3.438190	4.884503	4.364453	5.000622	4.481128	4.176182	3.916390
hsa-let-7f-2	13.911752	10.942483	13.269179	12.987075	12.524726	11.408160	13.685099	13.450268	11.610181	12.949327	12.064397	12.200430	12.908480	13.283547	13.145080	13.186596	14.300924	13.522980	14.497277	12.719919	11.889791	13.296573	13.112784	12.122476	13.056167	11.289053	12.912736	12.945539	12.017829	12.964062	13.973743	13.658183	14.324865	12.894275	13.527671	13.831851	12.570151	11.202047	14.539449	14.143790	11.757227	11.617212	12.389804	12.251777	12.589864	12.151935	12.730072	12.357508	12.277367	11.808961	12.731048	13.643959	13.977710	12.872749	11.530655	10.380193	11.773153	11.303245	12.252388	11.815796	12.005328	11.898087	12.326580	12.168946	12.382817	12.298635	12.083998	12.342820	11.721018	11.881495	12.435831	13.776043
hsa-let-7g	10.001064	8.819031	9.027585	8.762028	8.674006	9.730208	9.906513	9.760803	9.133161	8.943314	9.393820	9.354704	8.810723	9.394068	8.999514	9.389952	9.965730	9.865675	9.870191	9.203050	9.574036	9.987685	9.026333	9.054457	8.685615	9.519108	8.993594	9.332714	9.241697	8.954160	9.013488	9.291980	9.939543	9.031203	9.212770	10.362186	9.189617	8.809104	11.216993	10.004897	8.537327	7.732665	9.002886	8.874391	8.791369	9.032597	8.497372	9.794843	8.877226	10.269153	9.178225	10.099374	9.793639	9.596980	9.206003	9.016889	9.353686	10.775027	8.075808	8.648065	9.727727	8.654923	8.908019	9.574806	9.565995	8.521257	9.479225	7.554528	9.689084	8.967842	9.250003	8.406125
