EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
100009676	6.045537	6.749588	6.097722	6.086283	6.253817	6.349569	5.919681	6.491326	6.998246	5.449109	6.990087	6.096218	6.217973	6.642341	5.865194	5.942339	5.195820	6.160331	6.324769	5.956108	6.102003	5.348679	5.961922	6.825768	6.313052	6.319558	7.004447	6.329882	6.436567	6.602773	5.352307	5.941743	6.251115	6.337383	5.285428	6.428330	5.175732	6.183302	5.224928	5.669679	6.325142	5.604667	6.227959	7.117186	5.675474	5.630676	5.695220	5.910869	5.813784	7.275284	6.043688	5.766028	5.134213	5.277814	5.735208	6.115289	6.264321	6.271599	6.067738	5.904183	5.296351	6.346093	6.006585	6.077922	6.305270	5.745993	6.522613	6.360521	7.623859	7.361589	6.187049	6.612718
100048912	1.565402	3.205408	1.699640	2.260507	2.116431	2.100574	1.694568	1.939151	1.366924	3.826782	1.928692	1.807932	2.322765	-0.695022	0.546857	2.330702	2.251446	2.911941	3.061742	1.653152	1.824320	4.042119	2.255531	2.849319	1.720629	6.397379	4.030751	2.707481	4.796364	2.344999	2.194654	2.428089	3.045880	2.634454	1.108826	1.782912	3.244476	3.702746	5.270951	2.277449	1.127633	2.308565	3.906660	0.120883	5.687637	2.377707	1.689925	4.926782	3.193977	1.702835	2.613037	5.786060	2.668664	2.580580	3.284544	6.448683	1.653060	-0.998558	2.302904	3.149422	2.032806	2.830235	3.478299	3.330687	1.663026	4.611981	3.716420	3.250886	4.568981	3.298981	3.063296	4.306393
100073347	0.105946	NaN	-0.625044	NaN	0.001010	-1.484388	NaN	2.076628	NaN	-0.727857	NaN	NaN	-1.262227	NaN	0.131853	-0.369781	-1.748554	NaN	0.476745	1.068189	-1.497771	-1.790859	NaN	0.457016	-1.449296	4.910502	NaN	0.970486	NaN	1.344999	1.516570	-0.630841	-2.275786	-1.365500	1.108826	1.104873	-0.709812	NaN	3.758559	0.107554	NaN	0.308594	NaN	-0.463947	1.281669	1.114634	-0.479955	NaN	-1.198262	-1.756818	0.153546	5.794993	-1.501443	-2.277184	-1.300448	3.480394	NaN	NaN	NaN	-1.020633	-1.137013	-0.693388	NaN	-0.715486	NaN	4.057390	NaN	-1.958477	1.034145	1.343408	-1.637109	2.005795
100093630	10.328451	8.026004	9.424695	9.048400	8.762513	8.133989	8.194406	9.496023	8.536859	7.704730	8.246610	9.567487	9.288536	9.633011	9.953083	9.629568	8.574486	9.654763	9.214865	8.402078	9.759186	8.939698	9.890469	9.517695	9.387542	8.604676	9.684022	10.541635	9.543795	8.498560	8.005228	9.003412	8.755996	8.367463	9.412621	8.426781	7.790124	7.071984	9.285525	8.570014	9.689873	8.641733	9.431933	8.728278	9.993829	9.424818	9.181771	9.770587	7.832330	10.461361	9.000664	10.142519	9.569540	8.609069	9.230965	7.715054	8.697458	9.468030	10.172024	8.859072	9.522886	11.252856	8.233180	7.882598	9.505718	8.705749	8.688077	9.754392	8.714823	7.176279	9.675169	7.620492
100101116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100101266	2.565378	-1.748554	2.182216	2.260507	2.000973	2.515612	2.073066	3.317651	2.260026	1.442121	2.665666	3.129860	3.130107	0.626860	2.794811	1.952184	2.158337	2.174982	3.798704	2.483210	3.309744	-0.205730	2.140026	3.704927	2.135666	2.082669	1.419323	1.385541	0.492622	-0.654944	1.516570	1.954159	2.723952	1.441802	1.331247	1.242328	1.612211	NaN	-0.180005	2.807952	2.243121	2.396050	1.932666	2.928295	0.959696	1.792730	3.519995	1.030619	2.889123	1.828347	2.475526	3.155587	2.746678	3.148869	3.400019	-0.043200	3.489569	0.001442	1.980976	1.786847	3.184820	2.766107	1.893323	0.606442	0.815002	2.642355	0.988485	4.107529	3.204094	2.866948	2.610771	0.005759
100101490	3.956456	3.401371	3.996895	3.710459	4.036582	2.210482	3.227618	3.741952	5.071488	3.660723	4.667824	4.620017	4.071213	4.778845	3.239536	4.449429	2.964583	3.927735	4.013239	5.119983	3.875338	5.937966	4.382647	3.510114	4.645148	4.982054	5.075053	3.398569	4.991635	5.382280	5.009208	3.809054	4.789395	4.223909	5.085204	4.315711	5.631998	5.445379	3.182200	5.017165	3.589248	3.576111	3.575191	3.942317	5.543629	2.783687	2.878255	5.724323	3.429268	5.008012	2.274619	5.251378	3.354241	4.754492	2.453412	4.309802	3.816559	5.068396	4.879657	4.545697	5.722859	4.142601	4.037918	4.023584	4.713228	4.982797	4.113867	3.811738	3.830144	2.263695	4.770544	4.225853
100101938	-1.893786	NaN	NaN	NaN	NaN	NaN	NaN	-1.382702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.586404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.942862	NaN	NaN	NaN	-1.656535	-1.637109	NaN
100113386	4.090320	3.257961	3.181166	1.143328	4.193685	1.991971	0.103800	3.228372	4.133078	4.135387	5.166121	3.951327	3.719643	3.240360	3.224951	3.475267	1.175557	2.204735	3.485762	2.747753	4.363353	5.219672	2.583639	4.307501	4.154778	4.092749	4.239444	1.088209	2.830296	2.461869	0.997907	3.224534	4.555448	2.569904	3.831675	3.034269	2.743795	2.045827	2.467645	4.611975	1.390668	2.936176	3.089702	3.173479	3.792606	3.668017	2.319069	2.490057	2.238634	4.044822	2.960956	4.098420	5.501452	3.716058	2.750092	4.347772	1.053598	4.250886	4.065452	4.654739	2.683584	3.273382	3.135174	1.908659	3.447751	3.627245	5.864468	4.003062	5.631104	1.627327	3.875711	4.040822
100124412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.579060
