mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-let-7a-1	11.915779	12.638719	13.709407	13.976500	12.971379	13.586889	13.954420	14.019173	13.040067	13.661551	13.966565	13.372070	13.736150	13.440268	13.719181	13.502750	14.006834	13.650096	14.293482	13.066887	13.206012	13.145963	13.208403	12.939560	12.840877	13.329904	13.284970	13.124163	13.673842	12.419321	13.432844	13.462127	13.648068	13.916912	13.901006	13.091644	12.653555	12.217439	12.870941	12.754238	12.612217	13.353065	12.655910	12.806661	13.015676	13.187495	13.081069	11.903549	13.218611	12.292439	13.074324	12.479836	13.584164	13.031224	12.679785	12.698277	12.900669	12.341760	12.830699	13.118998	12.753896	13.064407	12.709103	12.242747	11.988512	12.735590	12.359437	12.256128	12.435750	12.838065	12.988656	12.016283
hsa-let-7a-2	12.913456	13.641955	14.703025	14.977431	13.969054	14.595903	14.949808	15.024917	14.024158	14.652305	14.955030	14.387546	14.728451	14.436251	14.721951	14.507585	15.010145	14.652769	15.297027	14.063889	14.198171	14.129364	14.215786	13.947189	13.827709	14.329696	14.272136	14.107934	14.670438	13.402927	14.428001	14.481082	14.647423	14.923014	14.903097	14.090276	13.622550	13.203856	13.865542	13.758620	13.623583	14.351402	13.644547	13.806348	14.007830	14.169827	14.075400	12.908156	14.214634	13.290769	14.065048	13.478201	14.591519	14.030228	13.693679	13.682760	13.878413	13.326912	13.820726	14.085723	13.736055	14.059453	13.707542	13.229170	12.989140	13.735298	13.369407	13.258629	13.423105	13.825658	13.993314	12.978688
hsa-let-7a-3	11.952454	12.651765	13.713646	13.979815	12.998526	13.606758	13.951103	14.033194	13.041073	13.668412	13.969052	13.400750	13.736107	13.447120	13.724530	13.514996	14.008777	13.660909	14.292932	13.085779	13.210779	13.146280	13.214416	12.975147	12.837225	13.329710	13.297269	13.130266	13.673450	12.386344	13.436209	13.485025	13.663306	13.932706	13.911919	13.101021	12.645718	12.201787	12.879686	12.764557	12.607978	13.348358	12.671187	12.813406	13.022873	13.203196	13.087699	11.941182	13.222934	12.305096	13.095419	12.491632	13.582082	13.059307	12.705261	12.713124	12.912974	12.339855	12.833307	13.117310	12.748193	13.071021	12.725196	12.254756	12.026791	12.736274	12.389701	12.262092	12.451370	12.845918	13.010453	12.001266
hsa-let-7b	13.875353	14.862282	15.250936	15.486323	14.148663	15.876804	16.090407	15.775142	15.296489	15.126642	15.212232	15.422263	15.348918	15.134286	15.315931	14.998047	15.610141	15.310679	15.850237	15.560792	15.478863	15.162899	15.146232	14.882650	15.077748	14.951407	14.894088	14.996528	15.497121	14.761352	14.398023	15.105139	15.440738	15.387416	15.308804	14.548063	14.490629	14.716224	14.509782	15.140497	14.848399	15.186268	15.384908	15.521779	15.144729	15.090073	14.680883	13.586922	15.068899	14.322510	14.885645	14.202545	14.709831	15.173970	14.678547	15.219699	15.403566	14.110999	15.199599	14.800773	14.781326	15.605303	14.946630	14.109112	14.311607	14.786509	13.819605	14.584679	14.254575	14.607549	14.958626	12.920288
hsa-let-7c	11.587963	12.673720	13.348049	13.304901	12.225549	13.437719	13.531499	13.187247	12.547779	13.021985	12.966992	13.265457	13.143684	13.119396	13.255995	13.270985	13.015735	13.209868	13.485565	13.088879	13.035480	13.093280	13.200384	12.777053	12.819519	13.359741	12.955814	12.713016	10.589417	12.667334	12.719944	13.202517	13.152598	13.495614	13.008461	12.677621	12.681977	12.618315	12.688293	12.769023	12.476205	13.272561	13.318887	13.163615	13.467335	13.060954	12.828843	11.824663	13.043973	12.362775	13.008943	11.948852	12.778277	12.717102	12.860241	12.880023	12.880620	12.073270	12.774397	12.984337	12.622239	13.275256	12.589017	12.020485	12.219345	11.537805	11.939773	12.290839	12.042732	12.937935	12.829491	10.807343
hsa-let-7d	9.309623	8.788682	8.908501	9.294083	9.220662	9.282405	9.126650	8.099270	9.072599	8.771468	8.719467	9.822224	8.428427	8.566567	8.536133	8.524240	8.430421	8.926816	8.874950	9.099605	9.288630	8.850095	8.539674	8.229420	8.907839	8.564998	8.093776	8.465088	8.870275	8.905065	8.891266	8.371164	8.246872	8.069253	8.201463	8.126183	8.192393	8.935270	8.136879	8.767827	8.486776	8.335476	9.155986	8.671859	8.153114	8.151380	8.266030	9.205734	9.693425	9.045406	8.416328	8.348066	9.417204	8.474075	8.596378	8.633781	9.235719	7.612991	8.477494	9.787430	8.414703	8.648807	9.418359	9.441194	9.448537	9.772890	9.602484	7.439780	9.377684	8.901236	9.156217	9.547812
hsa-let-7e	9.729071	9.682290	10.032467	10.983485	10.520695	9.775649	10.290952	10.747129	9.720465	10.887718	10.422035	11.051494	10.272516	10.085417	9.890416	9.791337	10.498398	9.863048	10.324512	9.808666	10.168065	10.164523	10.027126	9.812207	9.623995	9.841766	9.513253	9.755151	10.467361	9.492284	11.131450	10.425053	10.429528	10.715221	10.786980	9.520055	9.173995	8.997666	9.356255	8.907337	9.010063	9.909255	9.476627	9.322736	9.546558	9.323009	9.521742	9.384594	9.804977	9.235246	9.776883	9.716260	10.829973	10.239847	9.363367	9.079176	9.473374	9.212146	8.676514	10.059175	9.146697	9.427381	10.085616	9.622394	9.586970	8.677047	9.955363	9.077616	10.038896	10.030907	9.911871	9.129563
hsa-let-7f-1	3.806239	3.325423	4.234221	4.362796	4.040594	3.450218	3.933708	2.954757	3.362285	3.743060	3.065070	4.526703	3.411191	3.441036	3.903053	3.667216	3.870550	3.863048	3.809362	4.154746	4.062917	4.492097	3.287008	3.703247	3.798153	3.837078	3.275263	4.168937	3.414491	3.814212	3.935616	3.305075	2.745741	3.179863	3.027092	3.456157	2.553100	4.157890	3.455992	3.503615	3.674908	3.318668	3.347344	3.562235	3.544305	2.918719	4.139273	4.059724	4.314980	4.711882	3.587059	3.317921	4.344504	3.759829	3.730846	3.787490	4.366080	3.318233	3.367850	4.737858	3.745818	3.368037	4.275401	4.165617	3.748097	3.744919	3.702551	2.218904	4.212252	3.553450	3.821062	3.767327
hsa-let-7f-2	10.908360	11.914819	13.183426	13.689513	13.327684	13.033197	13.391593	13.693646	12.745835	13.665104	14.210938	12.852515	13.695169	13.179190	13.297017	13.303980	13.794133	13.393379	14.051359	11.939708	11.956561	12.451145	12.546457	12.306023	11.733973	12.569245	12.726654	12.338131	13.271436	11.654423	14.108766	13.400911	13.569673	13.791692	13.831671	13.137336	11.840691	11.073498	12.735312	11.733470	11.837874	12.838795	11.426829	11.845201	12.242836	12.249785	12.696443	11.371032	12.652939	11.692745	12.677095	12.072447	13.384478	12.439930	11.722121	11.571081	12.011208	12.065023	12.032075	12.359041	12.160899	12.099992	11.678435	11.751297	11.056676	12.292108	11.995655	11.814435	11.999180	11.995335	12.378207	13.404344
hsa-let-7g	8.960494	8.152054	8.767519	9.865790	9.720633	9.156043	9.637065	9.290020	9.117172	9.478385	9.919730	9.369977	9.375198	8.787026	9.241660	9.128538	9.533187	9.165423	10.066531	8.536722	8.795221	8.733281	8.540619	8.181679	8.533615	8.837704	8.503245	8.585382	9.613073	8.812407	9.791653	9.078544	9.171465	9.189423	8.974810	9.146214	8.198474	8.810463	8.646804	8.822711	8.576728	8.272864	8.028231	8.361431	8.233604	8.169176	8.698240	8.936366	9.373085	8.956442	8.625194	8.367033	9.952783	8.595694	8.413077	8.627364	9.576679	8.073918	8.635640	9.728659	8.543479	8.676376	8.854889	8.845097	8.443417	9.399091	9.482017	7.615257	9.361393	9.126211	9.081590	8.588357
