EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
100009676	6.320828	6.024996	6.066567	5.949035	7.263731	6.223453	6.093235	6.354022	5.947979	6.426396	5.912518	6.841349	6.405945	6.004283	6.380381	6.257846	5.941238	5.880171	6.109762	6.591151	6.010518	6.380264	6.365918	6.300177	6.897267	5.995589	6.126733	5.866873	6.409471	6.230462	6.240165	5.927152	5.922336	5.920965	5.697162	6.076292	6.221390	6.242166	6.502156	5.677821	5.227649	5.850612	6.005384	6.272243	5.822557	6.488486	5.907160	6.273042	5.968169	6.245536	6.231949	6.751441	6.355702	6.262078	6.678083	6.264022	6.294104	6.336880	6.049672	5.873666	6.208102	6.645101	5.955689	6.310836	6.134443	5.965357	6.578371	6.606099	6.283650	6.209356	6.506843	5.762657
100048912	NaN	2.424170	0.266277	0.870976	-1.206562	1.109695	0.073546	1.005184	2.245526	0.530271	1.693721	-1.205231	0.987175	2.503629	0.611550	0.546364	1.407353	1.054710	1.697818	2.155846	1.484654	1.335197	1.625317	1.725479	1.940956	1.789061	0.342327	0.924100	3.507490	1.238726	0.744161	1.487126	1.298658	2.147372	2.222774	0.613532	0.532965	NaN	1.242999	1.067432	NaN	0.032101	2.474306	1.458330	1.375846	1.876055	1.387252	2.330272	0.938323	1.982802	-0.138600	2.130173	1.897589	1.879157	0.665848	0.288654	1.297485	0.152897	1.418568	1.013498	0.175684	-1.382325	0.460585	0.424062	2.016247	2.321149	0.483571	1.484190	1.490057	2.066124	1.213254	NaN
100073347	NaN	0.839234	0.266277	1.745409	0.378290	1.787725	2.736562	0.268195	0.371057	0.530271	0.278698	-1.205231	0.724126	0.333653	-0.388544	1.131326	0.729270	0.732747	2.019773	-0.166017	-1.100360	-1.249822	-1.182131	0.403595	0.771040	0.651500	0.664301	NaN	2.375373	-0.761213	NaN	0.349592	NaN	1.977463	-0.651768	0.291604	-0.204067	1.783373	NaN	NaN	1.552180	-0.968040	-0.332971	-1.711701	-1.793857	0.068740	-1.420048	-1.370340	-0.646564	-0.717620	1.183264	0.907814	0.090176	0.879157	-0.919206	-0.296368	0.712552	-1.432065	-1.751465	0.428571	NaN	-0.382325	-1.124377	-1.161008	-0.305610	0.906121	NaN	-1.685942	NaN	-0.255839	NaN	NaN
100093630	9.346686	10.430918	10.161889	9.947307	8.798981	10.030916	10.472707	9.845616	9.276942	9.309143	10.594227	8.732717	10.142855	9.643743	10.453885	9.639108	9.569755	10.211028	10.567035	9.836742	9.555226	9.172316	9.237904	9.448619	9.624337	9.995837	9.726064	9.532380	9.212852	9.241530	8.997538	9.295632	9.483548	9.146753	10.139208	9.648594	8.856660	10.208956	9.603824	10.023569	9.805497	9.884623	9.667428	9.460197	10.105292	9.581436	9.935273	9.334604	10.336022	9.399345	9.464976	8.824667	9.588079	9.228985	9.262003	9.966959	10.527911	8.875102	10.533757	9.904302	9.763797	9.161746	8.341238	8.974789	8.847873	9.622064	8.577684	9.401747	8.910312	9.278500	8.682228	8.073552
100101116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100101266	2.871844	3.561681	1.725741	2.373425	2.600722	3.372701	2.948077	3.853147	3.692985	1.852159	3.781202	1.116564	3.260206	2.726025	3.740820	2.938662	3.051215	2.902691	2.945758	1.418892	2.707061	1.920179	2.817951	2.403540	2.578383	2.789041	3.664289	3.878323	2.237870	2.560642	1.843743	2.835035	3.883631	2.369774	2.933270	1.751035	2.911442	2.198431	2.050328	2.874797	3.268360	2.839456	2.605565	3.146378	3.598246	3.528121	3.280362	1.214809	2.675319	2.674664	2.561790	2.907794	2.790668	2.686501	2.250780	2.404140	3.297485	1.567886	3.248641	0.428571	2.838669	2.202700	2.045583	1.160985	2.864255	2.491058	1.290955	3.221181	2.589596	2.914124	1.798216	-0.951485
100101490	3.619836	4.131696	3.372325	4.391362	3.903135	4.438792	4.540672	3.420914	4.021435	2.251628	4.500834	3.299860	4.461627	3.973216	4.738962	4.433387	4.935936	4.172720	4.945566	3.450406	3.885194	2.926569	3.276720	4.036389	2.982035	4.091429	3.985355	3.662889	4.023202	2.877941	1.761626	3.863849	4.780552	3.918329	4.809605	3.615322	3.806747	3.539705	4.192975	5.250128	4.345609	3.213192	4.114975	3.524503	3.987294	3.792252	4.502833	3.781612	4.548535	3.976675	4.295312	3.566194	3.468740	2.617910	3.258775	3.288654	4.177192	3.780856	4.668182	5.128731	4.198078	4.223299	3.808776	3.926540	3.175876	3.949329	3.491250	3.366084	3.444508	3.376471	3.308623	3.198966
100101938	1.871844	-0.482775	NaN	NaN	0.378290	NaN	NaN	NaN	1.108023	-1.469929	NaN	-1.205231	NaN	NaN	-1.388355	NaN	NaN	NaN	NaN	NaN	-0.100360	NaN	-1.182131	-1.596405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.788863	NaN	NaN	NaN	NaN	NaN	-1.918115	-1.711701	-0.794107	NaN	-1.420048	0.951737	NaN	-1.717857	NaN	1.644779	NaN	NaN	-0.919206	NaN	NaN	-1.432065	NaN	NaN	NaN	-1.382325	-0.124377	-1.161008	NaN	-1.678996	-1.516223	NaN	0.682663	0.329181	-0.371646	NaN
100113386	3.722521	2.218843	-0.557455	2.978617	1.741963	3.941144	1.433494	2.910502	3.927688	3.007267	4.632024	3.385569	3.606217	4.574967	3.104672	3.348544	2.956410	4.646370	4.166081	3.831219	4.855985	2.550384	3.981040	3.795860	3.225861	4.096734	4.191610	3.668289	3.263605	3.306525	1.138487	4.829870	4.700234	2.682888	4.261125	2.306846	3.593665	2.180275	1.289126	3.362666	2.361853	1.971332	2.323082	3.560788	1.637564	4.642193	4.358396	2.912267	3.029205	2.845510	3.424506	3.632443	3.127617	0.016639	3.002090	2.982419	3.132741	1.697196	3.882653	3.701338	3.650362	3.625843	3.866176	2.646439	3.737406	3.608395	2.742869	3.720957	3.809095	3.241169	2.865563	3.497319
100124412	NaN	NaN	-1.733603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.229044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.788863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.751465	-0.571536	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
